Title,Year,Director,Stars,Duration,Trailer_Duration,Genre,Rating,Movie_url
All About Eve ,1950,Joseph L. Mankiewicz,"Bette Davis,Anne Baxter,George Sanders",2h 18min,3:06,Drama,8.2 / 10,https://www.imdb.com/title/tt0042192/
The Gold Rush ,1925,Charles Chaplin,"Charles Chaplin,Mack Swain,Tom Murray",1h 35min,1:25,Adventure,8.2 / 10,https://www.imdb.com/title/tt0015864/
Tokyo Story ,1953,Yasujirô Ozu,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura",2h 16min,4:16,Drama,8.2 / 10,https://www.imdb.com/title/tt0046438/
Logan ,2017,James Mangold,"Hugh Jackman,Patrick Stewart,Dafne Keen",2h 17min,0:31,Action,8.1 / 10,https://www.imdb.com/title/tt3315342/
Wild Strawberries ,1957,Ingmar Bergman,"Victor Sjöström,Bibi Andersson,Ingrid Thulin",1h 31min,,Drama,8.2 / 10,https://www.imdb.com/title/tt0050986/
The Seventh Seal ,1957,Ingmar Bergman,"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",1h 36min,,Drama,8.2 / 10,https://www.imdb.com/title/tt0050976/
Yojimbo ,1961,Akira Kurosawa,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai",1h 50min,,Action,8.2 / 10,https://www.imdb.com/title/tt0055630/
Judgment at Nuremberg ,1961,Stanley Kramer,"Spencer Tracy,Burt Lancaster,Richard Widmark",2h 59min,3:01,Drama,8.2 / 10,https://www.imdb.com/title/tt0055031/
Stalker ,1979,Andrei Tarkovsky,"Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn",2h 42min,2:00,Drama,8.2 / 10,https://www.imdb.com/title/tt0079944/
Rashomon ,1950,Akira Kurosawa,"Toshirô Mifune,Machiko Kyô,Masayuki Mori",1h 28min,,Crime,8.2 / 10,https://www.imdb.com/title/tt0042876/
Raging Bull ,1980,Martin Scorsese,"Robert De Niro,Cathy Moriarty,Joe Pesci",2h 9min,1:41,Biography,8.2 / 10,https://www.imdb.com/title/tt0081398/
Casino ,1995,Martin Scorsese,"Robert De Niro,Sharon Stone,Joe Pesci",2h 58min,0:26,Crime,8.2 / 10,https://www.imdb.com/title/tt0112641/
Unforgiven ,1992,Clint Eastwood,"Clint Eastwood,Gene Hackman,Morgan Freeman",2h 10min,2:37,Drama,8.2 / 10,https://www.imdb.com/title/tt0105695/
The Great Escape ,1963,John Sturges,"Steve McQueen,James Garner,Richard Attenborough",2h 52min,2:42,Adventure,8.2 / 10,https://www.imdb.com/title/tt0057115/
Chinatown ,1974,Roman Polanski,"Jack Nicholson,Faye Dunaway,John Huston",2h 10min,3:17,Drama,8.2 / 10,https://www.imdb.com/title/tt0071315/
Ran ,1985,Akira Kurosawa,"Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",2h 42min,2:04,Action,8.2 / 10,https://www.imdb.com/title/tt0089881/
Hera Pheri ,2000,Priyadarshan,"Akshay Kumar,Sunil Shetty,Paresh Rawal",2h 36min,1:22,Action,8.2 / 10,https://www.imdb.com/title/tt0242519/
Heat ,1995,Michael Mann,"Al Pacino,Robert De Niro,Val Kilmer",2h 50min,1:45,Crime,8.2 / 10,https://www.imdb.com/title/tt0113277/
To Kill a Mockingbird ,1962,Robert Mulligan,"Gregory Peck,John Megna,Frank Overton",2h 9min,0:51,Crime,8.2 / 10,https://www.imdb.com/title/tt0056592/
A Beautiful Mind ,2001,Ron Howard,"Russell Crowe,Ed Harris,Jennifer Connelly",2h 15min,2:27,Biography,8.2 / 10,https://www.imdb.com/title/tt0268978/
L.A. Confidential ,1997,Curtis Hanson,"Kevin Spacey,Russell Crowe,Guy Pearce",2h 18min,2:16,Crime,8.2 / 10,https://www.imdb.com/title/tt0119488/
The Sting ,1973,George Roy Hill,"Paul Newman,Robert Redford,Robert Shaw",2h 9min,0:41,Comedy,8.3 / 10,https://www.imdb.com/title/tt0070735/
Ikiru ,1952,Akira Kurosawa,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",2h 23min,,Drama,8.3 / 10,https://www.imdb.com/title/tt0044741/
The Apartment ,1960,Billy Wilder,"Jack Lemmon,Shirley MacLaine,Fred MacMurray",2h 5min,5:40,Comedy,8.3 / 10,https://www.imdb.com/title/tt0053604/
Taxi Driver ,1976,Martin Scorsese,"Robert De Niro,Jodie Foster,Cybill Shepherd",1h 54min,3:07,Crime,8.3 / 10,https://www.imdb.com/title/tt0075314/
Das Boot ,1981,Wolfgang Petersen,"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",2h 29min,1:06,Adventure,8.3 / 10,https://www.imdb.com/title/tt0082096/
Downfall ,2004,Oliver Hirschbiegel,"Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",2h 36min,,Biography,8.2 / 10,https://www.imdb.com/title/tt0363163/
Lawrence of Arabia ,1962,David Lean,"Peter O'Toole,Alec Guinness,Anthony Quinn",3h 48min,4:43,Adventure,8.3 / 10,https://www.imdb.com/title/tt0056172/
A Clockwork Orange ,1971,Stanley Kubrick,"Malcolm McDowell,Patrick Magee,Michael Bates",2h 16min,2:10,Crime,8.3 / 10,https://www.imdb.com/title/tt0066921/
Swades ,2004,Ashutosh Gowariker,"Shah Rukh Khan,Gayatri Joshi,Kishori Ballal",3h 9min,1:26,Drama,8.2 / 10,https://www.imdb.com/title/tt0367110/
Scarface ,1983,Brian De Palma,"Al Pacino,Michelle Pfeiffer,Steven Bauer",2h 50min,2:18,Crime,8.3 / 10,https://www.imdb.com/title/tt0086250/
Amadeus ,1984,Milos Forman,"F. Murray Abraham,Tom Hulce,Elizabeth Berridge",2h 40min,2:20,Biography,8.3 / 10,https://www.imdb.com/title/tt0086879/
Braveheart ,1995,Mel Gibson,"Mel Gibson,Sophie Marceau,Patrick McGoohan",2h 58min,2:44,Biography,8.3 / 10,https://www.imdb.com/title/tt0112573/
Full Metal Jacket ,1987,Stanley Kubrick,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",1h 56min,1:29,Drama,8.3 / 10,https://www.imdb.com/title/tt0093058/
Come and See ,1985,Elem Klimov,"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",2h 22min,2:16,Drama,8.3 / 10,https://www.imdb.com/title/tt0091251/
Children of Heaven ,1997,Majid Majidi,"Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",1h 29min,1:16,Drama,8.3 / 10,https://www.imdb.com/title/tt0118849/
